# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2932
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2932
DATA ascii
1.36000705 0.30197102 1.22819400
1.27144146 0.33747366 1.19444644
1.56028152 0.33549801 1.00971425
1.24886990 0.42003939 0.98203099
1.47066486 0.39661416 0.88586932
1.45952153 0.45280093 0.72270387
1.75010300 0.37752345 0.83242613
1.68583560 0.36225474 0.87462085
1.82894313 0.44694486 0.67511135
1.68388474 0.48407838 0.59698761
1.66234386 0.51034921 0.51242203
1.62526643 0.50028855 0.55193913
-0.02637576 0.71613371 1.53185117
0.08646555 0.67345494 1.54535890
0.06069392 0.68125230 1.58531892
0.02003939 0.71506089 1.30170333
0.37761399 0.57289267 1.42966390
0.06863295 0.68989396 1.36698592
0.54686600 0.54779267 1.24591875
0.78893191 0.48733038 1.19039595
0.60982424 0.50978035 1.37686825
0.86088610 0.48387200 1.08209741
0.64190722 0.58250952 0.88107979
0.59461588 0.59545439 0.88376069
1.16616404 0.48901990 0.80443448
0.76604241 0.56659722 0.80006510
0.76906067 0.55883569 0.82826269
0.83915395 0.57927948 0.68219024
1.07076204 0.58666766 0.43754250
1.20695150 0.50236791 0.72116864
1.44602847 0.52427655 0.52429163
1.52948272 0.51069355 0.54347557
1.62039876 0.50388288 0.54105145
1.22374737 0.60993010 0.28917056
1.59448028 0.58391160 0.29564035
1.45646346 0.60525906 0.24187726
-0.04362381 0.73666817 1.30644166
-0.02434569 0.74156958 1.15037382
0.07637401 0.70934922 1.15300512
0.18549542 0.69228536 0.91045398
0.07971154 0.73244113 0.81791466
0.40675187 0.64493090 0.84348762
0.62781221 0.60480219 0.75503355
0.36323607 0.64187890 0.96596855
0.36238313 0.69511425 0.47130269
0.28780186 0.70104498 0.56573284
0.93094617 0.59219664 0.53294361
0.69355452 0.59643656 0.72316647
0.76839370 0.60505331 0.60336053
0.80248833 0.64898098 0.29536042
0.80265582 0.64427948 0.32658714
0.96946347 0.66062760 0.18018728
1.08394837 0.64650363 0.19453315
1.08236372 0.65088290 0.17780495
1.03687489 0.69372392 0.01012899
0.83982086 0.68301958 0.13541684
-0.01321142 0.82399619 0.21822679
-0.03475685 0.79127818 0.57105297
0.00381461 0.83775330 0.01714699
0.18519774 0.72636062 0.52952313
0.12371779 0.76759291 0.18858266
0.28771812 0.72551477 0.28955743
0.39918882 0.70626611 0.29000539
0.25301540 0.73542553 0.19214347
0.59528911 0.72876519 0.03155408
0.35615402 0.80072176 -0.09477897
-2.23937178 0.89092481 -1.41285253
-2.49905610 0.62156695 -1.10410976
-2.68144894 0.43993032 -0.93638825
-2.76214886 0.36309153 -0.88624376
-2.91182804 0.22625872 -0.75550228
-2.93350959 0.21037211 -0.71299589
