# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2959
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2959
DATA ascii
-3.18196964 3.39297462 0.99563968
-3.21837568 3.35773349 0.81729168
-3.23628926 3.40539098 1.03342915
-3.09505582 3.30949426 -0.72627527
-3.01692414 3.30479717 -0.73022985
-2.92675567 3.32117271 -0.85256356
-3.05506182 3.33046865 -0.85461932
-3.06211782 3.36345959 -1.03023005
-2.94390225 3.31263494 -0.79999411
-2.75323081 3.27981925 -0.60975164
-2.84629607 3.27399302 -0.54242074
-2.89132166 3.30335283 -0.76689333
-2.81542587 3.28628922 -0.64754027
-2.88491464 3.26644588 -0.43051338
-2.99377275 3.27493501 -0.49296379
-3.12764645 3.27743721 -0.42845437
-3.05824828 3.28125381 -0.55293441
-3.04909611 3.27215123 -0.39833513
-3.12015653 3.27018332 -0.30541292
-3.01677036 3.25726271 -0.13736835
-2.97078538 3.25810242 -0.19193441
-2.77455783 3.26023722 -0.38389766
-2.89210343 3.25918841 -0.27539918
-2.93622065 3.25434446 -0.10907863
-2.82564259 3.24931550 0.00708841
-3.17749357 3.28924036 0.42626116
-3.15206480 3.28100824 0.32388163
-2.98088813 3.27259684 0.26842535
-3.16709638 3.29670668 0.53044903
-2.97125983 3.27613115 0.34778994
-3.05984640 3.28553033 0.43034294
-2.95168567 3.27979136 0.44640154
-2.78675914 3.26904154 0.43018067
-3.06987691 3.28882122 0.48504204
-2.86857939 3.29799223 0.58711624
-3.09336567 3.31699038 0.65245926
-3.00930166 3.36572075 0.89413965
-3.09713268 3.37513089 0.92914093
-3.05840421 3.34482145 0.78902543
-2.86181569 3.32384062 0.73790228
-3.04552913 3.39601898 1.06174743
-2.84969425 3.35565639 0.95473576
-2.82494879 3.34400582 0.89855593
-2.79668188 3.30831146 0.68860555
-2.60926318 3.29956150 -0.84147841
-2.45586395 3.26010728 -0.64086998
-2.74378562 3.26346278 -0.48551545
-2.57252026 3.28524160 -0.75679284
-2.57739091 3.28452897 -0.74837637
-2.35908556 3.22434950 -0.42331186
-2.37434816 3.23449612 -0.49659508
-2.47249699 3.24269652 -0.49803337
