# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2434
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2434
DATA ascii
2.28253245 5.26798773 -0.00884058
2.44873691 5.39049816 0.03728743
2.17578697 5.41901588 0.01920131
1.94358087 5.46214914 0.00876826
1.81992364 5.3573451 -0.02867478
1.90089202 5.56490469 0.03070871
0.83470392 6.72975111 0.08815014
0.68777174 6.73662901 0.07660446
0.63594419 6.65257311 0.05089873
0.95487404 6.7031579 0.09235379
0.91214687 6.63013458 0.07056742
0.72043812 6.64703321 0.05721727
0.76874524 6.47689486 0.01844186
0.9263916 6.38855457 0.01070347
1.05083477 6.41723633 0.0294702
1.29480124 6.46897221 0.06481849
1.32572258 6.35541344 0.03922363
1.17431486 6.33069706 0.01926802
1.57450879 6.35721636 0.06223967
1.5657922 6.26021194 0.03699881
1.38884676 6.166255 -0.0025886
1.74992716 6.26726151 0.05554455
1.54433262 6.2019515 0.02048946
1.86246681 6.13551521 0.03312666
1.63478208 6.05101538 -0.00884091
1.69882011 5.96091795 -0.02615727
3.28103328 5.6203928 0.03324902
3.44370818 5.68217707 0.06359564
3.20765972 5.94554996 0.10808159
3.08557272 5.69370604 0.03388267
3.16249061 5.87265682 0.08586526
3.1356945 5.92718887 0.09694063
2.96795034 5.69463015 0.02339207
2.8945775 5.79587269 0.04184365
3.05500484 5.82727575 0.06456491
2.87495804 5.8829236 0.06217966
2.98236465 5.93729687 0.08548342
2.72770786 5.8573823 0.04223495
2.84280252 5.92070198 0.06885897
2.71112108 6.00136423 0.07680027
2.54456592 5.64591265 -0.02820893
2.51066113 5.78278208 0.00349028
2.29699421 5.99508476 0.03745771
2.21772575 5.95146084 0.01944663
0.82815796 7.24510717 0.08445521
0.68840778 7.24130106 0.0707941
0.80466974 7.05799675 0.03478921
1.3303268 7.10560608 0.09504043
0.92111027 6.9618454 0.02138556
1.21795738 6.92284822 0.03864758
1.43419099 6.9256897 0.05897486
1.76710725 6.82265186 0.06403244
1.63226688 6.60438728 -0.0033859
1.501248 6.53484058 -0.03307832
1.83970416 6.53535652 -0.00165341
1.91063404 6.39635992 -0.03017676
3.55779266 6.06656981 0.03776206
3.599787 6.21138525 0.07819575
3.35756946 6.2608676 0.0686626
2.99641585 6.0416584 -0.01964754
2.95351505 6.07345629 -0.01568133
3.14966965 6.22259855 0.03978136
3.20350552 6.25601816 0.05328396
3.07429624 6.29078197 0.04991094
3.01504421 6.4013238 0.07236385
2.77182508 6.14924526 -0.01350365
2.91437149 6.16618633 0.00370776
2.83949423 6.42210817 0.06167152
2.61280012 6.30254602 0.01058041
2.65481186 6.32630539 0.02032107
2.55184412 6.32396936 0.01047388
2.59553933 6.36654186 0.02515585
2.63933277 6.54157829 0.07367995
2.30276132 6.26576805 -0.02696519
2.40549755 6.46628284 0.03318636
2.23956347 6.26087379 -0.03402435
2.34808564 6.54066038 0.04634392
1.06092608 7.69359589 0.09061681
0.82529235 7.68174791 0.06589846
1.30416536 7.51638222 0.06836443
1.35989738 7.45732498 0.05861206
1.54935825 7.40183067 0.06186392
1.32128763 7.44365168 0.05166937
1.29422748 7.32561159 0.01917567
1.63626277 7.39945745 0.06898695
1.8213253 7.09348774 0.00934765
1.88124871 7.06410408 0.00744048
1.92507088 6.92688036 -0.02329606
2.25937724 6.86641598 -0.00779686
3.80532384 6.4322648 0.02450551
3.71920824 6.61666536 0.06265908
3.247648 6.42576647 -0.02808241
3.5635047 6.50682116 0.02093549
3.4676826 6.68013668 0.05573675
3.26940036 6.48928833 -0.01000339
3.23732543 6.55815601 0.00408428
3.34127593 6.62212896 0.02988633
3.35562301 6.73545408 0.05953547
3.012748 6.50451994 -0.03012213
2.93550515 6.59669828 -0.01345746
2.98114729 6.64383316 0.00253008
3.07248092 6.73973751 0.0350839
2.82975459 6.61906433 -0.01780471
2.93737173 6.81184435 0.04037336
2.90557432 6.87662792 0.05354204
2.6321435 6.65960598 -0.0261722
2.6954093 6.97525263 0.05909283
2.52530956 6.66564226 -0.03435465
2.34660316 6.70323753 -0.04091694
2.28684402 6.79946375 -0.02196461
2.44893384 6.88503075 0.01377738
1.33343244 8.08829498 0.09126402
1.27145517 8.07523537 0.08239005
1.07540596 8.08203316 0.06634456
1.07493901 7.98520756 0.04160182
1.26117074 7.86218548 0.02807189
1.41056383 7.75388527 0.01442434
1.80715013 7.92775726 0.09439139
1.61675584 7.9246068 0.07609675
1.64298129 7.86327839 0.06295865
1.48827112 7.83256674 0.04116102
1.8966378 7.7680254 0.06207345
1.76187432 7.71637249 0.03708944
1.70405567 7.62890577 0.00930711
1.63853431 7.58139706 -0.00823998
1.98336434 7.67676687 0.04728975
1.86825776 7.47273731 -0.01447815
2.10191107 7.50586367 0.01517106
2.24402833 7.53272867 0.03516781
2.14765215 7.39656401 -0.00851093
3.94839334 7.0645175 0.07302868
3.74158835 7.21186638 0.09145596
3.61512113 6.99119806 0.02411094
3.59196544 7.03271914 0.03260978
3.75423121 7.13222837 0.07209738
3.59914184 7.21077633 0.07794838
3.4390974 6.98909664 0.00720556
3.48082519 7.00985622 0.01640766
3.28865647 7.07700586 0.01573307
3.40719199 7.28199911 0.07817554
3.06906557 7.00138283 -0.02301077
3.2338686 7.35836554 0.0816739
3.00438094 7.06398439 -0.01333009
2.96031737 7.10971403 -0.00594235
3.042799 7.25641441 0.03827946
3.07957435 7.29525232 0.05141729
3.1270225 7.3979001 0.08211037
2.89035225 7.33637094 0.04473523
2.71984816 7.18139172 -0.01013027
2.64456534 7.24877691 -5.482e-05
2.7725215 7.33587837 0.03412301
2.48895431 7.1695962 -0.03375601
2.50043559 7.20280218 -0.02443168
1.40458012 8.44946098 0.06923654
1.59971225 8.49315453 0.09876459
1.66355681 8.39157104 0.07865794
1.63398933 8.11133575 0.00503893
1.87535775 8.38289833 0.09639014
1.80618227 8.31374454 0.07207621
1.75571966 8.06280518 0.00412056
2.16274405 8.24695587 0.08783191
1.92526603 8.23416424 0.06299852
2.17826867 8.04680538 0.03890679
2.18216395 7.95264196 0.01544923
2.39991426 8.01865578 0.05228343
2.36753011 7.9895215 0.04186135
2.27522945 7.9142189 0.01436095
2.51259089 7.88946915 0.03024373
2.36529231 7.75665283 -0.01712213
2.59422398 7.84334803 0.02617121
2.51848555 7.76451302 -0.00076633
2.47304916 7.70195389 -0.02079236
3.78090429 7.43076134 0.03115847
3.993541 7.53900671 0.07741597
3.93290138 7.61774063 0.09152394
4.00555086 7.67300224 0.11247358
3.84877825 7.71020794 0.1071986
3.65829515 7.49218082 0.03477524
3.79273486 7.65180206 0.08753985
3.81056452 7.66694021 0.09289151
3.25367713 7.63702536 0.03467162
3.11603832 7.44659996 -0.02593598
3.16772246 7.59937668 0.01718348
3.0847311 7.73460817 0.04376376
3.13983583 7.75710344 0.05456292
2.99826813 7.68405151 0.02314252
3.07500076 7.8778863 0.07883102
1.73020077 8.88591194 0.09443636
1.4428426 8.92971325 0.07942697
1.59859478 8.80333042 0.06124727
1.46342885 8.77387905 0.04206588
1.54373515 8.6927948 0.02867915
1.71799266 8.7462883 0.05799951
1.70124006 8.72970963 0.05244822
1.78313661 8.59647179 0.02680619
1.85617113 8.67136765 0.05234438
1.81088281 8.59111786 0.02805109
2.2958951 8.61590481 0.07831904
2.18120193 8.51406384 0.04240246
2.1072495 8.46180725 0.02271716
2.31450081 8.31306362 0.00350064
2.52988911 8.40496826 0.04704219
2.39097333 8.3234129 0.01315095
2.26298714 8.18832874 -0.03242186
2.50908136 8.23575783 0.00198596
2.56833005 8.19491959 -0.00266403
2.67391348 8.16706371 0.00029973
3.93746448 7.84488773 0.03449549
