# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2286
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2286
DATA ascii
-1.21878803 2.24320292 3.03112507
-0.98804951 2.24116826 3.10627127
-1.78508127 2.32976961 2.82865024
-1.7256397 2.33655024 2.81113982
-1.70217907 2.34225821 2.79937625
-1.61568809 2.40545964 2.68012428
-1.46900177 2.39749479 2.65803981
-1.51786554 2.29509354 2.85261679
-1.13505828 2.30733013 2.90139675
-1.13983047 2.31257558 2.88827252
-1.3421793 2.3351016 2.77968812
-1.32633376 2.40485048 2.62795138
-1.17702043 2.37063575 2.74749637
-1.14817202 2.38600135 2.72135139
-1.33546829 2.42146444 2.58810186
-0.83363903 2.40405107 2.66574144
-0.9509086 2.35425401 2.83321238
-0.95123005 2.38249803 2.73811889
-1.07243681 2.3976264 2.68698716
-0.84859568 2.36384869 2.80107379
-0.78017467 2.38684821 2.72374797
-1.415519 2.47496295 2.50011396
-1.34602773 2.48200989 2.45102859
-1.36203933 2.48673868 2.44782448
-1.17594731 2.48046041 2.43960738
-1.07965863 2.42265415 2.60292196
-1.23313141 2.45764565 2.50058222
-1.15812337 2.48958707 2.41503119
-1.2160219 2.5008285 2.38183856
-0.99030161 2.49114585 2.41686058
-0.99547118 2.42700243 2.59398174
-0.90948033 2.50692344 2.32425189
-0.71604341 2.4332509 2.55456972
-1.14515293 2.54987168 2.24056411
-0.78572965 2.50572419 2.27836919
-0.85309851 2.51159453 2.28139901
-0.88139325 2.48386908 2.40967631
-0.80290914 2.52769661 2.20350051
-0.96185511 2.54197216 2.20256615
-1.00011623 2.58780789 2.05786705
-0.91779518 2.60195732 1.95832157
-0.8981877 2.6020689 1.94215071
-0.86500442 2.56560183 2.09007645
-0.92932451 2.62859583 1.84012675
-0.82031757 2.62036872 1.79352343
-0.87955391 2.65281057 1.69949865
-1.77938843 1.6766715 -3.29410291
-1.91540051 1.6884135 -3.24555016
-2.08977509 1.57521236 -3.30658984
-1.76857162 1.74777615 -3.22711444
-1.57747769 1.80263662 -3.22365355
-1.58290625 1.78825939 -3.23550296
-2.35729599 1.41647065 -3.38654971
-2.44417953 1.36584795 -3.41190457
-2.28680205 1.62027037 -3.24493289
-2.42593145 1.46116686 -3.34276342
-2.4789319 1.48191988 -3.32620525
-2.58952832 1.32183301 -3.42620945
-2.33172822 1.64327121 -3.22731853
-2.24653769 1.620399 -3.24699688
-2.50265145 1.54810619 -3.28702188
-2.62033248 1.40448821 -3.39092278
-2.52025008 1.51541936 -3.30762577
-2.61632848 1.71024668 -3.23655462
-2.4969461 1.78900814 -3.1615417
-2.66414356 1.93896139 -3.12328887
-2.53951192 1.73264933 -3.2038579
-2.70756388 1.92887223 -3.14455223
-2.76614308 1.59647202 -3.34652019
-2.85470462 1.91867352 -3.21162462
-2.89286375 2.14918876 -3.1045599
-2.91336441 2.14587331 -3.11491609
-2.83591866 2.18977165 -3.06050324
-2.93305707 2.36002445 -3.0121305
-2.98309231 2.42162585 -3.00062871
-1.29429412 1.97580791 -3.06418943
-1.27282929 1.97114813 -3.09132671
-1.12977087 2.03505254 -3.03400159
-1.6221509 1.90113533 -3.06674314
-1.31020784 2.01597333 -3.00337815
-1.29489851 2.00853133 -3.01638317
-1.62791634 1.88087237 -3.09026718
-1.59049642 1.88504112 -3.0945034
-1.83900285 1.80516708 -3.13067603
-1.28526056 1.9859283 -3.04664922
-1.99910331 1.76549017 -3.14729738
-2.02929091 1.78324509 -3.12713766
-1.94719326 1.78745294 -3.12835217
-1.96108258 2.01734018 -2.91375875
-1.80548251 1.99484074 -2.93295884
-2.32421756 1.77636766 -3.12094355
-2.20615673 1.96390641 -2.95982623
-2.16994405 1.89884555 -3.01566195
-1.71132231 2.00613999 -2.92318487
