# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2013
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2013
DATA ascii
-0.12176671 1.2726078 -0.88639563
0.50547373 1.17717946 -0.5654406
0.49632058 1.20834851 -0.70068192
0.36026475 1.14756012 -0.50470781
0.36512294 1.22535145 -0.8351326
0.42367303 1.25028253 -0.92448896
0.29598296 1.18415642 -0.67006576
0.2558043 1.19089925 -0.70103514
0.15125203 1.19193387 -0.69859117
0.1677561 1.27271748 -1.06989467
-0.03333483 1.22875094 -0.81252146
-0.11793422 1.21862257 -0.66060734
-0.13776934 1.17867327 -0.48411784
0.43166569 1.09902215 -0.31736296
0.23570086 1.117818 -0.4426828
0.17356801 1.11855781 -0.4524121
0.11862009 1.12509346 -0.46572834
-0.1007048 1.16909981 -0.49537542
0.26441601 1.01227188 -0.12689456
0.00583905 1.01948214 -0.14338169
0.59843224 3.67761707 2.53310347
0.62600327 3.78561997 2.54087257
0.44493484 3.65092134 2.16820621
0.54806119 3.65203571 2.42277622
0.51921701 3.76931882 2.28574705
0.54081643 3.75066257 2.34963965
0.73445004 3.57976365 2.92446566
0.7516973 3.66238332 2.92584229
0.48517925 3.66202998 2.26369691
0.52251822 3.61227655 2.382447
0.81983006 3.74081159 3.05424118
0.42850921 3.66648626 2.1205399
0.96574259 3.51513147 3.53459811
0.62965196 3.67775393 2.61452532
0.70994371 3.55227327 2.87952852
0.97545761 3.55270481 3.54362607
1.07649076 3.7330215 3.44832826
1.13548195 3.49089003 3.8369441
1.08588684 3.54701138 3.7001822
0.88319844 3.76336861 3.15800667
1.16371047 3.50206399 3.65209961
1.15175569 3.55564833 3.67033148
1.16261482 3.55119514 3.60755777
1.19089687 3.42214561 3.57687664
1.18557477 3.46321893 3.56584167
1.24638653 3.61523962 3.18908024
1.23037624 3.65438795 3.2241981
1.37729359 3.53615522 2.40620828
1.25800109 3.5176549 3.18983412
1.29468048 3.63818479 2.93535471
1.25163949 3.40219736 3.2451148
1.2721597 3.53272772 3.09530973
1.30867374 3.59139156 2.60085273
1.30952489 3.60125589 2.66393328
0.31805637 3.61535525 1.8653816
0.56759173 3.66544652 2.45784903
0.19522262 3.51180983 1.60034657
0.6535812 3.71324444 2.63630438
0.47750577 3.71278405 2.13605928
0.51957542 3.66710138 2.31355214
0.610358 3.78595543 2.42131519
0.50556529 3.73316526 2.19007087
0.87181771 3.80344415 3.00801897
0.77615803 3.82381058 2.79433346
1.0115068 3.90010428 2.87991381
0.85879618 3.88879895 2.68888617
0.99878734 3.83791471 3.06289482
1.07839978 3.88268137 3.03625059
1.16561782 3.80757689 3.02158451
1.16433501 3.797194 3.11700153
1.1779021 3.7499373 3.35366416
1.25943327 3.70594907 2.86710072
1.13607132 3.8675077 2.84467173
1.25533962 3.75955915 2.46394682
1.30652034 3.49497867 1.87366498
1.29634154 3.58357239 2.02876568
1.29944038 3.55331802 2.1406734
1.28918803 3.63930655 2.45415092
1.28232646 3.68117714 2.20538092
1.2518034 3.45352244 1.48946154
0.55132312 3.75379467 2.27237916
0.33684868 3.59184599 1.8435812
0.42500857 3.65048146 1.93227613
0.60687119 3.80541396 2.27577996
0.53476202 3.74246192 2.15370321
0.36230141 3.59688854 1.8154273
0.60308546 3.79265499 2.20337987
